"sp"	"estado"	"accion"	"source_len"	"target_len"
"spx_registrarllamadaatencion"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_registrarordentrabajo"	"IGUAL_LOGICA"	"SKIP"	"2289"	"2285"
"spx_registrarsupervisionmanual"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"spx_registrarventapararegistrootwb"	"FALTA_EN_TARIJA"	"CREATE"	"2919"	"0"
"spx_regmod_productos"	"IGUAL_LOGICA"	"SKIP"	"22320"	"22320"
"spx_sepuedemodificarordentrabajo"	"IGUAL_LOGICA"	"SKIP"	"2442"	"2442"
"spx_traerchipid2"	"IGUAL_LOGICA"	"SKIP"	"357"	"357"
"spx_traerdatoseriechipidcu"	"IGUAL_LOGICA"	"SKIP"	"3105"	"3105"
"spx_traerdatoseriechipidcu_cunr2"	"IGUAL_LOGICA"	"SKIP"	"2928"	"2934"
"spx_traervendedores_x_formtecnico"	"IGUAL_LOGICA"	"SKIP"	"339"	"337"
"spx_validamovimientos"	"IGUAL_LOGICA"	"SKIP"	"8756"	"8756"
"spx_validarcuadreruta"	"IGUAL_LOGICA"	"SKIP"	"213"	"213"
"spx_validarusuario"	"IGUAL_LOGICA"	"SKIP"	"584"	"578"
"spx_validarusuariosucursal"	"IGUAL_LOGICA"	"SKIP"	"724"	"722"
"spx_validarventaydetallewb"	"FALTA_EN_TARIJA"	"CREATE"	"3569"	"0"
"spx_verificarestadoserie"	"IGUAL_LOGICA"	"SKIP"	"19057"	"19063"
"spy_ultimo_estado_dia_bo_cita_makiro"	"NO_EXISTE_EN_SANTACRUZ"	"SKIP"	"0"	"0"
"traertodoslosproductos"	"IGUAL_LOGICA"	"SKIP"	"120"	"120"
"traertodoslosproductos_sinfungibleweb"	"FALTA_EN_TARIJA"	"CREATE"	"159"	"0"
"traertodoslosproductos_x_idrutaweb"	"IGUAL_LOGICA"	"SKIP"	"261"	"256"
